GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_251: 65 years and over
59150307,DA,59150307,0.2991,677,297,266,140
59150308,DA,59150308,0.1096,541,229,218,95
59150309,DA,59150309,0.1119,761,299,282,130
59150310,DA,59150310,0.1094,748,411,389,60
59150311,DA,59150311,0.0809,537,202,187,95
59150312,DA,59150312,0.0871,555,218,201,85
59150313,DA,59150313,0.1728,1003,368,355,205
59150328,DA,59150328,0.2322,508,177,169,80
59150329,DA,59150329,0.3085,966,369,350,170
59150330,DA,59150330,0.0782,544,221,209,85
59150331,DA,59150331,0.1544,858,344,317,170
59150332,DA,59150332,0.1118,660,273,251,150
59150333,DA,59150333,0.0996,621,260,242,125
59150334,DA,59150334,0.0878,507,222,210,120
59150335,DA,59150335,0.0957,857,335,314,135
59150336,DA,59150336,0.1357,610,235,225,125
59150337,DA,59150337,0.0979,433,169,163,70
59150338,DA,59150338,0.0753,479,180,173,90
59150339,DA,59150339,0.0971,588,232,216,105
59150340,DA,59150340,0.0793,534,210,200,85
59150341,DA,59150341,0.0646,459,185,176,85
59150342,DA,59150342,0.0803,461,191,184,100
59150343,DA,59150343,0.0607,470,213,190,100
59150344,DA,59150344,0.0582,480,228,215,70
59150345,DA,59150345,0.0853,597,323,304,55
59150346,DA,59150346,0.069,409,191,182,35
59150347,DA,59150347,0.0657,504,308,285,50
59150348,DA,59150348,0.0392,529,315,298,65
59150349,DA,59150349,0.0358,420,223,214,65
59150350,DA,59150350,0.102,511,304,275,75
59150351,DA,59150351,0.0283,459,260,257,45
59150352,DA,59150352,0.0561,748,549,525,305
59150353,DA,59150353,0.0416,495,281,272,70
59150354,DA,59150354,0.043,525,325,315,65
59150355,DA,59150355,0.0275,531,299,285,40
59150356,DA,59150356,0.0852,473,238,212,60
59150357,DA,59150357,0.0869,919,546,530,95
59150358,DA,59150358,0.0868,512,248,234,55
59150359,DA,59150359,0.0422,482,283,269,75
59150360,DA,59150360,0.0881,611,346,332,90
59150361,DA,59150361,0.0561,488,224,206,55
59150362,DA,59150362,0.056,397,172,161,60
59150363,DA,59150363,0.0971,515,214,205,60
59150364,DA,59150364,0.0578,433,201,183,50
59150365,DA,59150365,0.0675,345,152,145,40
59150366,DA,59150366,0.1173,861,403,386,90
59150367,DA,59150367,0.1014,1340,719,659,100
59150368,DA,59150368,0.0741,508,169,155,100
59150369,DA,59150369,0.0775,538,210,202,75
59150371,DA,59150371,0.0712,548,200,191,60
59150373,DA,59150373,0.1172,685,268,241,105
59150375,DA,59150375,0.0738,411,153,147,85
59150376,DA,59150376,0.0675,459,183,170,90
59150377,DA,59150377,0.0669,480,195,180,75
59150378,DA,59150378,0.0579,789,379,353,95
59150379,DA,59150379,0.08,573,243,221,85
59150380,DA,59150380,0.0568,607,235,219,85
59150381,DA,59150381,0.0727,668,263,240,105
59150382,DA,59150382,0.0666,598,217,204,70
59150383,DA,59150383,0.0634,530,207,193,65
59150384,DA,59150384,0.058,489,216,202,65
59150385,DA,59150385,0.0688,486,193,181,100
59150386,DA,59150386,0.1116,614,201,191,120
59150387,DA,59150387,0.0637,540,189,184,75
59150388,DA,59150388,0.2783,816,305,285,135
59150389,DA,59150389,0.1023,725,282,267,140
59150390,DA,59150390,0.1148,606,220,208,130
59150391,DA,59150391,0.067,526,195,186,70
59150392,DA,59150392,0.1368,467,167,153,100
59150393,DA,59150393,0.0835,636,229,203,105
59150394,DA,59150394,0.0789,614,226,208,145
59150395,DA,59150395,0.0793,705,250,233,140
59150396,DA,59150396,0.1258,639,323,302,240
59150397,DA,59150397,0.0596,411,165,145,95
59150398,DA,59150398,0.064,469,163,148,65
59150399,DA,59150399,0.0654,536,219,204,80
59150400,DA,59150400,0.0958,767,267,248,120
59150401,DA,59150401,0.0926,639,211,201,125
59150402,DA,59150402,0.1704,732,275,251,120
59150403,DA,59150403,0.0949,646,249,235,155
59150404,DA,59150404,0.0564,504,191,173,95
59150405,DA,59150405,0.0654,517,203,184,90
59150406,DA,59150406,0.1118,702,274,247,160
59150407,DA,59150407,0.0971,800,285,270,140
59150408,DA,59150408,0.0819,710,300,279,125
59150409,DA,59150409,0.0596,480,179,170,75
59150410,DA,59150410,0.0868,739,307,293,100
59150412,DA,59150412,0.059,440,172,157,90
59150414,DA,59150414,0.0711,583,224,199,125
59150415,DA,59150415,0.1174,807,311,286,100
59150416,DA,59150416,0.0893,597,247,227,120
59150417,DA,59150417,0.071,539,198,191,75
59150419,DA,59150419,0.0914,452,189,177,60
59150420,DA,59150420,0.0861,530,194,184,80
59150421,DA,59150421,0.1003,630,225,210,125
59150422,DA,59150422,0.087,896,393,328,85
59150423,DA,59150423,0.133,514,193,186,100
59150424,DA,59150424,0.1505,883,340,323,200
59150425,DA,59150425,0.0874,414,144,135,75
59150426,DA,59150426,0.2494,685,196,192,265
59150427,DA,59150427,0.1026,553,220,203,90
59150428,DA,59150428,0.1505,600,258,243,260
59150429,DA,59150429,0.1093,574,226,212,105
59150430,DA,59150430,0.0833,524,214,199,105
59150431,DA,59150431,0.104,632,250,234,140
59150432,DA,59150432,0.1325,858,356,339,120
59150433,DA,59150433,0.063,466,175,166,60
59150434,DA,59150434,0.0687,494,198,185,90
59150435,DA,59150435,0.0688,560,210,202,100
59150436,DA,59150436,0.1086,873,345,326,125
59150437,DA,59150437,0.1038,1212,634,595,155
59150438,DA,59150438,0.0882,857,352,333,120
59150439,DA,59150439,0.1026,483,177,165,80
59150440,DA,59150440,0.1131,682,243,228,140
59150442,DA,59150442,0.1047,668,240,223,145
59150443,DA,59150443,0.1186,790,321,304,110
59150444,DA,59150444,0.1015,737,249,234,125
59150445,DA,59150445,0.0881,633,236,219,145
59150446,DA,59150446,0.0836,544,220,206,115
59150447,DA,59150447,0.0788,826,336,317,295
59150448,DA,59150448,0.1014,668,311,294,150
59150449,DA,59150449,0.1183,739,274,255,115
59150450,DA,59150450,0.1401,627,219,212,120
59150451,DA,59150451,0.0811,501,190,176,120
59150452,DA,59150452,0.0835,420,143,129,90
59150453,DA,59150453,0.1033,586,217,201,95
59150454,DA,59150454,0.1509,673,245,235,145
59150455,DA,59150455,0.1514,843,330,300,180
59150457,DA,59150457,0.1383,743,286,252,130
59150459,DA,59150459,0.1003,564,206,184,180
59150460,DA,59150460,0.0637,515,181,169,75
59150461,DA,59150461,0.0438,352,123,108,65
59150462,DA,59150462,0.0428,403,136,127,60
59150463,DA,59150463,0.0958,608,207,186,80
59150465,DA,59150465,0.0671,554,194,183,85
59150466,DA,59150466,0.0599,505,169,152,65
59150468,DA,59150468,0.0842,571,209,191,115
59150469,DA,59150469,0.0822,599,230,208,125
59150470,DA,59150470,0.0637,536,200,176,100
59150471,DA,59150471,0.074,679,248,242,130
59150472,DA,59150472,0.0587,492,163,153,95
59150473,DA,59150473,0.0838,680,238,229,120
59150474,DA,59150474,0.0842,705,271,241,105
59150475,DA,59150475,0.0821,762,354,329,145
59150476,DA,59150476,0.1531,929,368,341,130
59150477,DA,59150477,0.0785,628,216,194,80
59150478,DA,59150478,0.0986,792,287,262,110
59150479,DA,59150479,0.1649,464,178,156,85
59150480,DA,59150480,0.0641,553,201,182,90
59150481,DA,59150481,0.0564,434,178,162,90
59150482,DA,59150482,0.0891,853,292,268,140
59150483,DA,59150483,0.0596,503,195,177,90
59150484,DA,59150484,0.0908,689,271,253,135
59150485,DA,59150485,0.1376,565,225,202,135
59150486,DA,59150486,0.0599,547,186,184,270
59150487,DA,59150487,0.1662,810,404,306,75
59150488,DA,59150488,0.0698,2132,1341,1222,245
59150489,DA,59150489,0.1202,1053,520,493,110
59150490,DA,59150490,0.0938,575,205,198,105
59150491,DA,59150491,0.0295,475,208,180,135
59150492,DA,59150492,0.0714,603,241,238,90
59150493,DA,59150493,0.0354,426,275,270,45
59150494,DA,59150494,0.0269,390,270,262,50
59150495,DA,59150495,0.6411,624,402,389,70
59150496,DA,59150496,0.0349,574,351,325,60
59150497,DA,59150497,0.0311,605,339,331,80
59150498,DA,59150498,0.0376,612,392,379,75
59150499,DA,59150499,0.0353,590,411,379,80
59150500,DA,59150500,0.0456,724,410,397,90
59150503,DA,59150503,0.0426,592,311,304,130
59150504,DA,59150504,0.2182,1080,548,502,175
59150505,DA,59150505,0.1051,662,285,274,120
59150506,DA,59150506,0.0862,344,124,115,65
59150507,DA,59150507,0.1472,522,201,184,120
59150508,DA,59150508,0.1266,494,171,164,110
59150509,DA,59150509,0.1653,463,180,171,100
59150510,DA,59150510,0.1864,453,163,158,90
59150511,DA,59150511,0.1277,1181,654,603,185
59150512,DA,59150512,0.2211,507,196,176,120
59150513,DA,59150513,0.1692,502,166,161,115
59150514,DA,59150514,0.2016,587,198,185,105
59150515,DA,59150515,0.2073,380,125,120,75
59150516,DA,59150516,0.1538,471,153,150,85
59150517,DA,59150517,0.1364,410,136,131,95
59150518,DA,59150518,0.1304,428,152,144,85
59150519,DA,59150519,0.156,853,347,323,95
59150520,DA,59150520,0.1643,1036,551,499,245
59150521,DA,59150521,0.1576,637,242,227,135
59150522,DA,59150522,0.122,645,248,220,145
59150523,DA,59150523,0.117,694,265,243,130
59150524,DA,59150524,0.0866,541,214,193,100
59150526,DA,59150526,0.0821,571,233,213,125
59150527,DA,59150527,0.0637,718,286,272,75
59150529,DA,59150529,0.0962,562,210,196,90
59150530,DA,59150530,0.0493,544,260,246,105
59150531,DA,59150531,0.1736,783,340,326,105
59150534,DA,59150534,0.0984,521,231,207,105
59150535,DA,59150535,0.0931,641,246,231,90
59150536,DA,59150536,0.0499,517,289,279,310
59150537,DA,59150537,0.088,560,220,207,100
59150538,DA,59150538,0.0797,677,368,348,110
59150539,DA,59150539,0.0938,484,208,187,110
59150540,DA,59150540,0.1224,630,266,234,115
59150541,DA,59150541,0.2375,787,333,302,180
59150542,DA,59150542,0.0976,528,245,231,110
59150543,DA,59150543,0.2339,1525,708,627,270
59150544,DA,59150544,0.1991,787,503,461,305
59150545,DA,59150545,0.4571,931,371,360,210
59150546,DA,59150546,0.1714,733,284,273,140
59150547,DA,59150547,0.0481,528,264,248,100
59150548,DA,59150548,0.1464,352,140,131,90
59150549,DA,59150549,0.151,457,161,156,90
59150550,DA,59150550,0.2082,641,239,229,130
59150551,DA,59150551,0.1627,476,153,149,105
59150552,DA,59150552,0.1642,437,144,137,80
59150553,DA,59150553,0.3362,551,206,198,105
59150554,DA,59150554,0.2393,483,177,158,90
59150555,DA,59150555,0.173,610,242,229,100
59150556,DA,59150556,0.1221,865,463,435,215
59150557,DA,59150557,0.1063,602,296,261,85
59150558,DA,59150558,0.0678,544,345,324,125
59150559,DA,59150559,0.0896,611,269,258,145
59150560,DA,59150560,0.1493,562,204,192,95
59150561,DA,59150561,0.2748,527,194,186,110
59150562,DA,59150562,0.1818,544,232,220,120
59150563,DA,59150563,0.0426,661,394,385,160
59150564,DA,59150564,0.0903,647,343,327,195
59150565,DA,59150565,0.1154,511,246,232,165
59150566,DA,59150566,0.048,563,358,325,220
59150567,DA,59150567,0.0428,517,333,304,205
59150568,DA,59150568,0.0466,643,374,349,165
59150569,DA,59150569,0.0649,864,536,499,295
59150570,DA,59150570,0.0666,488,350,317,160
59150571,DA,59150571,0.3117,568,212,198,120
59150572,DA,59150572,0.1319,337,130,120,85
59150573,DA,59150573,0.0601,1310,680,635,240
59150575,DA,59150575,0.2268,563,206,177,180
59150577,DA,59150577,0.2099,811,381,365,320
59150578,DA,59150578,0.2321,504,186,171,70
59150579,DA,59150579,0.1196,405,146,141,80
59150580,DA,59150580,0.1355,506,168,163,60
59150581,DA,59150581,0.1122,390,130,124,65
59150582,DA,59150582,0.1527,537,193,190,100
59150583,DA,59150583,0.1096,593,277,264,145
59150584,DA,59150584,0.0892,604,307,288,125
59150585,DA,59150585,0.1226,544,224,197,95
59150586,DA,59150586,0.1766,554,303,287,60
59150587,DA,59150587,0.0874,570,269,251,95
59150588,DA,59150588,0.0977,581,254,238,70
59150589,DA,59150589,0.097,493,209,186,95
59150590,DA,59150590,0.0972,552,250,216,95
59150591,DA,59150591,0.1138,642,255,233,100
59150592,DA,59150592,0.0982,632,303,283,75
59150593,DA,59150593,0.0839,589,261,248,75
59150594,DA,59150594,0.0668,426,219,201,70
59150595,DA,59150595,0.0882,672,346,323,125
59150596,DA,59150596,0.0691,489,230,218,90
59150597,DA,59150597,0.0827,711,403,375,100
59150598,DA,59150598,0.0823,557,307,279,85
59150599,DA,59150599,0.0387,597,436,397,195
59150600,DA,59150600,0.1127,475,255,231,125
59150601,DA,59150601,0.0725,768,401,369,105
59150602,DA,59150602,0.0575,427,220,197,75
59150603,DA,59150603,0.0608,403,213,194,105
59150604,DA,59150604,0.0578,621,327,306,75
59150605,DA,59150605,0.0681,486,227,224,75
59150606,DA,59150606,0.079,701,326,310,100
59150607,DA,59150607,0.0871,836,466,436,115
59150608,DA,59150608,0.0877,566,309,294,125
59150609,DA,59150609,0.0768,532,251,238,55
59150610,DA,59150610,0.0532,678,366,349,65
59150611,DA,59150611,0.077,689,336,305,85
59150612,DA,59150612,0.0784,646,347,323,90
59150613,DA,59150613,0.0642,747,358,348,105
59150614,DA,59150614,0.0656,662,362,345,65
59150615,DA,59150615,0.0641,499,272,261,90
59150616,DA,59150616,0.0489,588,354,333,55
59150617,DA,59150617,0.032,544,351,330,70
59150618,DA,59150618,0.0478,650,442,434,100
59150619,DA,59150619,0.053,637,342,327,70
59150620,DA,59150620,0.0665,559,352,343,170
59150621,DA,59150621,0.0498,463,319,302,75
59150622,DA,59150622,0.0342,476,327,304,45
59150623,DA,59150623,0.0343,494,334,322,50
59150624,DA,59150624,0.0337,596,412,393,70
59150625,DA,59150625,0.0332,608,391,372,75
